Method,Silhouette,NMI,ARI
CVAE (Audio+Lyrics),0.41,0.15,0.07
CVAE (Audio Only),0.2,0.12,0.04
Autoencoder + KMeans,0.26706451177597046,0.2899810814134297,0.16236795144530067
Strong Baseline,0.08,0.35,0.21
PCA + KMeans,0.08081113324211602,0.34862556454110605,0.20781166871063178
