0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.338279,0.26582426,-0.36454213,0.5237204,0.14600809,0.26627234,-0.25318766,-0.5289379,-0.004404125,0.035293065,0.19471408,-0.62818235,0.24736206,-0.48012477,0.273019,0.19530834,-0.039043717,0.07296299,-0.13826519,-0.28750253,-0.21980521,-0.10213244,-0.25395256,-0.61187744,0.15693858,-0.10436941,0.8117229,-0.15663512,-0.0933066,0.72059196,-0.48289928,-0.06354204
-0.33644697,0.3515652,-0.43478015,0.6430917,0.1228873,0.20668444,-0.15917371,-0.7275737,0.0455372,0.15841378,0.351303,-0.82502955,0.30880794,-0.6774791,0.2373438,0.228553,-0.049374945,0.15466212,-0.07639835,-0.45018926,-0.32126755,-0.11562335,-0.3341555,-0.8334561,0.101158164,-0.18510458,0.73631704,-0.25556198,-0.04869236,0.955234,-0.54854256,0.6919234
0.078646496,-0.04411129,0.01061899,0.024720594,-0.032141034,0.05570713,0.0048152246,0.0009373352,0.026400454,-0.080610424,-0.037963748,-0.03466157,-0.035007045,0.012212418,-0.008514985,-0.004122613,0.0580424,0.0546169,0.06652859,-0.028536506,-0.020574894,-0.07605968,0.14619401,-0.1073505,-0.007393509,-0.010272101,-0.15949593,-0.050612453,-0.036814258,-0.08518359,-0.017151762,-0.99253154
0.07465613,-0.11506039,0.098252304,-0.08560154,-0.13172439,-0.091010034,0.021056132,0.015469631,-0.13215514,-0.06204602,0.0057045436,0.19665489,0.012926823,0.07384269,-0.06867572,-0.00340096,0.07832449,-0.08110312,0.04421012,-0.04627309,0.084309556,-0.088435404,0.02877681,0.1804166,-0.009616017,0.06606483,-1.3128095,0.014252562,-0.083781525,-0.19040985,0.047125228,-0.36943346
0.0759542,0.060555257,-0.23335579,-0.12975845,-0.2557814,0.026550826,0.10256803,-0.15510154,-0.040872652,0.06696517,0.037640058,0.014440902,0.039302204,-0.04624058,0.2129563,-0.11902921,0.026334468,-0.09538651,0.047923133,-0.1371314,0.17242125,-0.030047143,0.75246996,-0.4507988,0.122437075,-0.03532154,-0.6637994,-0.1568244,-0.020562775,-0.32507432,0.020067602,-0.40331766
-0.09310861,0.19133444,-0.45098248,0.28694588,-0.18300988,0.1127511,0.2099625,-0.524344,0.018935923,0.123559244,0.2781376,-0.573456,0.20835061,-0.4682422,0.20070715,0.022544872,-0.024190785,0.078623414,0.020659294,-0.3192413,-0.11864671,-0.046115972,0.2658744,-0.8668163,0.10714982,-0.21058959,-0.5321821,-0.2766933,0.011843782,0.47059852,-0.31162703,0.28761175
0.19809328,0.2614118,-0.18477577,-0.3768638,-0.13138123,-0.12569311,0.20386137,-0.5617711,-0.008470886,0.057556048,0.033275705,-0.043566175,-0.22964095,0.005806569,-0.15292697,0.10035451,-0.0021927282,0.25067955,0.117928274,0.005863484,0.22827952,-0.18606682,1.5828459,-0.9703237,0.20834693,0.02439595,-0.5137967,-0.5193386,0.15294418,-0.6930199,0.035194583,0.43000755
-0.0477038,0.05996132,-0.15867347,0.024701633,-0.07875776,0.14068769,-0.03568759,-0.12625208,-0.024017356,-0.061701894,-0.08543068,-0.0069686696,0.008100935,0.03218599,0.16148342,-0.040831752,0.0273853,-0.01041466,0.07702819,-0.084250696,0.026321847,-0.057872303,0.3412873,-0.31880066,0.048830517,-0.067443416,-0.7082305,-0.04611362,-0.011219464,-0.065141454,-0.016247233,-0.9264972
0.3229834,0.05817914,0.21769811,-0.47136316,0.0336849,-0.16791241,0.21591482,-0.13666011,0.06929511,-0.124555714,-0.031835508,0.12636366,-0.40544832,0.19230542,-0.38291377,0.061167102,0.020280981,0.35876822,0.13951454,0.15488163,0.29331338,-0.06743308,1.2206721,-0.42625558,0.15790667,0.063043974,0.57236147,-0.48135266,0.14028119,-0.8333024,0.2204526,0.26627555
-0.27770105,0.15007441,-0.3640029,0.5567815,-0.14384793,0.09707302,0.046247326,-0.31571215,0.08853209,0.24215491,0.23490073,-0.59991425,0.26803526,-0.60451853,0.25790888,0.015044387,0.007777607,0.08903804,0.04639303,-0.4188165,-0.30502534,0.040100746,-0.7693643,-0.37906826,-0.13593656,-0.19467115,-0.013315439,-0.040441792,-0.02260995,0.9103268,-0.30747172,1.6176658
0.3756649,0.06819224,0.12674218,-0.3709828,-0.22100458,-0.32486856,0.6690583,-0.07402826,0.12982382,0.059535213,0.040469006,-0.11489179,-0.48464596,-0.07981329,-0.40034997,-0.15503013,-0.008384204,0.33364075,0.2718668,0.05263021,0.11574124,-0.1281527,0.8762821,-0.5089479,-0.010476619,-0.20191392,-0.27735916,-0.5203525,0.039167013,-0.56719434,0.23111686,1.0094196
0.0936494,-0.0639572,0.04532903,-0.08513292,-0.04975825,-0.017561127,-0.045220114,-0.011756575,-0.070953235,-0.09355419,-0.038188115,0.13172817,-0.040799696,0.124326676,-0.036579695,-0.0012347391,0.057073936,-0.00811312,0.060677536,0.0013705157,0.07046458,-0.06765835,0.19854145,0.004247535,0.014991142,0.044391077,-0.9439949,-0.05833811,-0.057504345,-0.27558923,0.05630056,-0.63630885
